TIME,MOS,HOLD,QDC,QTC,ACTION
3,False,False,IGNORE,IGNORE,STILL
4,False,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,-,WALK
8,True,False,MEDIUM,0,WALK
9,True,False,MEDIUM,-,WALK
10,True,False,MEDIUM,-,WALK
11,True,False,MEDIUM,-,WALK
12,True,False,MEDIUM,-,WALK
13,True,False,MEDIUM,-,WALK
14,True,False,MEDIUM,-,WALK
15,True,False,NEAR,-,WALK
16,True,False,NEAR,-,WALK
17,True,False,TOUCH,-,WALK
18,True,False,TOUCH,0,PICK
19,False,False,TOUCH,0,PICK
20,False,False,TOUCH,0,PICK
21,False,True,TOUCH,0,TRANSPORT
22,False,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,TRANSPORT
30,True,True,TOUCH,0,TRANSPORT
31,True,True,TOUCH,0,TRANSPORT
32,True,True,TOUCH,0,TRANSPORT
33,True,True,TOUCH,0,TRANSPORT
34,True,True,TOUCH,0,TRANSPORT
35,True,True,TOUCH,0,TRANSPORT
36,False,True,TOUCH,0,PLACE
37,False,True,TOUCH,0,PLACE
38,False,False,TOUCH,0,PLACE
39,False,False,IGNORE,IGNORE,STILL
