4
5,0.021,0.029,0.04,0.084,0.474,0.305,0.048
6,0.069,0.059,0.053,0.047,0.043,0.232,0.497
7,0.047,0.022,0.031,0.065,0.367,0.394,0.074
8,0.033,0.023,0.033,0.067,0.402,0.377,0.064
9,0.071,0.0,0.051,0.067,0.095,0.328,0.389
10,0.0,0.0,0.057,0.073,0.104,0.336,0.43
11,0.0,0.0,0.113,0.073,0.1,0.31,0.405
12,0.0,0.0,0.119,0.075,0.105,0.301,0.4
13,0.0,0.0,0.117,0.073,0.101,0.332,0.377
14,0.0,0.0,0.111,0.069,0.283,0.199,0.338
15,0.0,0.0,0.046,0.071,0.557,0.213,0.112
16,0.055,0.035,0.047,0.071,0.547,0.168,0.077
17,0.05,0.032,0.043,0.192,0.473,0.141,0.069
18,0.052,0.033,0.044,0.193,0.471,0.135,0.071
19,0.0,0.035,0.046,0.2,0.482,0.161,0.076
20,0.0,0.039,0.052,0.217,0.531,0.117,0.044
21,0.0,0.029,0.039,0.162,0.652,0.085,0.033
22,0.005,0.007,0.016,0.9,0.05,0.019,0.004
23,0.009,0.013,0.028,0.827,0.086,0.031,0.006
24,0.004,0.02,0.014,0.899,0.043,0.016,0.004
25,0.003,0.012,0.009,0.943,0.024,0.007,0.002
26,0.006,0.022,0.01,0.073,0.862,0.018,0.009
27,0.0,0.017,0.036,0.083,0.843,0.021,0.0
28,0.0,0.017,0.035,0.077,0.85,0.021,0.0
29,0.0,0.019,0.039,0.082,0.835,0.025,0.0
30,0.0,0.021,0.044,0.087,0.82,0.028,0.0
31,0.0,0.002,0.004,0.009,0.982,0.003,0.0
32,0.002,0.004,0.005,0.009,0.975,0.004,0.001
33,0.002,0.004,0.005,0.009,0.975,0.004,0.001
34,0.003,0.005,0.004,0.005,0.943,0.033,0.006
35,0.003,0.005,0.004,0.005,0.943,0.033,0.006
36,0.006,0.028,0.022,0.019,0.916,0.008,0.002
37,0.003,0.022,0.015,0.014,0.94,0.006,0.0
39,0.003,0.02,0.014,0.012,0.945,0.006,0.0
40,0.003,0.018,0.013,0.009,0.952,0.005,0.0
41,0.001,0.005,0.012,0.032,0.948,0.003,0.0
42,0.002,0.013,0.024,0.013,0.944,0.004,0.0
43,0.006,0.02,0.021,0.01,0.939,0.004,0.0
44,0.006,0.018,0.02,0.008,0.944,0.004,0.0
45,0.006,0.016,0.018,0.006,0.951,0.002,0.0
46,0.006,0.015,0.016,0.006,0.955,0.002,0.0
47,0.005,0.014,0.015,0.003,0.962,0.002,0.0
48,0.005,0.012,0.013,0.003,0.966,0.002,0.0
49,0.005,0.011,0.011,0.003,0.969,0.002,0.0
50,0.003,0.005,0.058,0.003,0.93,0.001,0.0
51,0.002,0.006,0.047,0.003,0.941,0.001,0.0
